Running fetch_all.py...
[379/2102] 040407 OK
[380/2102] 040408 OK
[381/2102] 040409 OK
[382/2102] 040410 OK
[383/2102] 040411 OK
[384/2102] 040412 OK
[385/2102] 040413 OK
[386/2102] 040502 OK
[387/2102] 040501 OK
[388/2102] 040503 OK
[389/2102] 040504 OK
[390/2102] 040505 OK
[391/2102] 040506 OK
[392/2102] 040507 OK
[393/2102] 040508 OK
[394/2102] 040509 OK
[395/2102] 040510 OK
[396/2102] 040511 OK
[397/2102] 040513 OK
[398/2102] 040512 OK
[399/2102] 040514 OK
[400/2102] 040202 OK
[401/2102] 040203 OK
[402/2102] 040205 OK
[403/2102] 040204 OK
[404/2102] 040201 OK
[405/2102] 040206 OK
[406/2102] 040207 OK
[407/2102] 040208 OK
[408/2102] 040209 OK
[409/2102] 040210 OK
[410/2102] 040211 OK
[411/2102] 040212 OK
[412/2102] 040213 OK
[413/2102] 040220 OK
[414/2102] 040214 OK
[415/2102] 040215 OK
[416/2102] 040216 OK
[417/2102] 040217 OK
[418/2102] 040218 OK
[419/2102] 040219 OK
[420/2102] 040602 OK
[421/2102] 040603 OK
[422/2102] 040604 OK
[423/2102] 040601 OK
[424/2102] 040605 OK
[425/2102] 040608 OK
[426/2102] 040606 OK
[427/2102] 040607 OK
[428/2102] 040702 OK
[429/2102] 040703 OK
[430/2102] 040704 OK
[431/2102] 040705 OK
[432/2102] 040701 OK
[433/2102] 040706 OK
[434/2102] 040802 OK
[435/2102] 040803 OK
[436/2102] 040801 OK
[437/2102] 040804 OK
[438/2102] 040805 OK
[439/2102] 040806 OK
[440/2102] 040807 OK
[441/2102] 040808 OK
[442/2102] 040809 OK
[443/2102] 040810 OK
[444/2102] 040811 OK
[445/2102] 050201 OK
[446/2102] 050204 OK
[447/2102] 050206 OK
[448/2102] 050211 OK
[449/2102] 050207 OK
[450/2102] 050208 OK
[451/2102] 050111 OK
[452/2102] 050102 OK
[453/2102] 050116 OK
[454/2102] 050101 OK
[455/2102] 050103 OK
[456/2102] 050104 OK
[457/2102] 050115 OK
[458/2102] 050113 OK
[459/2102] 050114 OK
[460/2102] 050105 OK
[461/2102] 050106 OK
[462/2102] 050107 OK
[463/2102] 050108 OK
